Sentence,Sign Language
ඔයා ඊළඟ දොරටුව වෙත යන්න,ඔයා ඊළඟ දොර යනවා
කණ්ඩායම අමාරු පොතක් ලියනවා,කණ්ඩායම අමාරු පොත ලියනවා
අද කාලගුණය සීතලයි,අද කාලගුණය සීතල
ඔයාගේ සාය සිනිදුයි,ඔයා සාය සිනිදු
අලියා ඊයේ ගෙදර කැඩුවා,අලියා ඊයේ ගෙදර කඩනවා
හොරා අගුල කඩනවා,හොරා අගුල කඩනවා
බබා අම්මා ළග නිදියනවා,බබා අම්මා ළග නිදියනවා
නැන්දා අම්මාට වඩා මහතයි,නැන්දා අම්මා මහත
තාත්තා අම්මාට ලැයිස්තුව පෙන්නනවා,තාත්තා අම්මා ලැයිස්තුව පෙන්වනවා
ඔවුන් මාර්ගයේ ඇවිදිනවා,ඔවුන් මාර්ගය ඇවිදිනවා
අද අහසේ සඳ ලස්සනයි,අද අහස සඳ ලස්සන
මගේ ගෙදර යතුර බෑගයේ තිබෙනවා,මගේ ගෙදර යතුර බෑගය තියෙනවා
ඔයා අමාරු ගැටලුව තෝරගන්න,ඔයා අමාරු ගැටලුව තෝරනවා
ඔහු මට කෙටි පණිවිඩ යවනවා,ඔහු මට කෙටිපණිවිඩයවනවා
ඔහු ඉක්මනින් වැඩ කරනවා,ඔහු ඉක්මනින් වැඩකරනවා
ඔබේ මනස ශක්තිමත් කරන්න,ඔයා මනස ශක්තිමත්
අප ගුවන් ගුවන්තොටුපළ ට ගියා,අපි ගුවන්තොටුපළ යනවා
මගේ අයියා වෛද්‍යවරයෙක්,මගේ අයියා වෛද්‍යවරයා
මගේ නැන්දා අද එනවා,මගේ නැන්දා අද එනවා
බබා නිදාගෙන ඉන්නවා,බබා නිදියනවා ඉන්නවා
ඔහුට පොත් දහනවයක් තිබුණා,ඔහු පොත දහනවය තියෙනවා
නොවැම්බර් සීතල මාසයකි,නොවැම්බර් සීතල මාසය
ජනවාරි නව වසරේ පළමු මාසයයි,ජනවාරි අලුත් අදුරුද්ද එක මාසය
"ඔව්, මට එන්න පුලුවන්","ඔව්, මට එන්න පුලුවන්"
අඟහරුවාදා පාඩම් කරමු,අඟහරුවාදා පාඩම්කරනවා
මම හවස ගෙදර යනවා,මම හවස ගෙදර යනවා
එම මල රතු යි,ඒක මල රතු
මම කවදාවත් එතනට යන්නේ නැහැ,මම ඒ යනවා නෑ
ඔහු දැන් නැවතත් එනවා,ඔහු දැන් නැවතත් එනවා
ඔහු ශක්තිමත් මිනිසෙකි,ඔහු ශක්තිමත් මිනිසා
ඔහු මගේ ජ්‍යෙෂ්ඨ නිලධාරියා,ඔහු මගේ ජ්‍යෙෂ්ඨ නිලධාරියා
අප දෙදෙනාගේ අදහස් එකම යි,අපි අදහස එකම
ඔහු පොහොසත් පුද්ගලයෙකි,ඔහු පොහොසත් පුද්ගල‍යා
මේක පැරණි ගොඩනැගිල්ලකි,මේක පැරණි ගොඩනැගිල්ල
ඊළඟ දවසට හමුවෙමු,ඊළඟ දවස හමුවෙනවා
නරක ආහාර සෞඛ්‍යයට අහිතකරයි,නරක කෑම සෞඛ්‍යය හොඳ නෑ
හෙලෝ! ඔබට කොහොමද?,හෙලෝ ඔයා කොහොමද
මම සිනාසෙනවා,මම සිනාසෙනවා
මම ඔබට කතා කරන්න කැමතියි.,මම ඔයා කතාකරනවා කැමති
ඔහු කතාකරනවා,ඔහු කතාකරනවා
මම ජංගම දුරකථනය භාවිතා කරනවා,මම ජංගමදුරකථනය භාවිතාකරනවා
මට සමාවෙන්න,මට සමාව
මම ඔයාට ආදරෙයි,මම ඔයා ආදරෙයි
මම තාක්ෂණය භාවිතා කිරීමට කැමතියි.,මම තාක්ෂණය භාවිතාකරනවා කැමති
මගේ දුරකථනය වැඩකරනවා,මගේ දුරකථනය වැඩකරනවා
මගේ අම්මා රෙදි හෝදනවා,මගේ අම්මා රෙදිහෝදනවා
මම පාඩම් කරනවා,මම පාඩම්කරනවා
දුක් වෙන්න එපා,දුක එපා
ඔයාට අද එන්න පුලුවන්ද,ඔයා අද එන්න පුලුවන් ද
"ඔව්, ඔබව හමුවීම සතුටක්",ඔව් ඔයා හමුවෙනවා සතුට
ඔබ දක්ශයි,ඔයා දක්ශ
මට සතුටුයි,මට සතුට
මට ගොඩක් දුකයි,මට ගොඩක් දුක
තරහ වෙන්න එපා,තරහා එපා
ඔවුන් චිත්‍රපටය බලනවා,ඔවුන් චිත්‍රපටය බලනවා
මගේ මුදල් මේසය උඩ,මගේ මුදල් මේසය මත
හරි මම හිතනවා,හරි මම හිතනවා
ඔවුන් හෙට හමුවෙනවා,ඔවුන් හෙට හමුවෙනවා
ඔවුන් හිනාවෙනවා,ඔවුන් සිනාසෙනවා
අපි හෙට පාසලට යමු,අපි හෙට පාසල යනවා
මම බසයෙන් එනවා,මම බසයෙන් එනවා
ඔහුට යතුරුපැදියක් තියෙනවා,ඔහුට යතුරුපැදිය තියෙනවා
අපි දුම්රියෙන් එනවා,අපි දුම්රිය එනවා
මම ගුවන්යානයක වැඩකරනවා,මම ගුවන්යානය වැඩකරනවා
ඇය පාපැදියෙන් පාසලට යනවා,ඇය පාපැදිය පාසල යනවා
මම ඔහුට කාලගුණය පෙන්වනවා,මම ඔහු කාලගුණය පෙන්වනවා
මම ඇයට ගුවන්තොටුපළ පෙන්වනවා,මම ඇයට ගුවන්තොටුපළ පෙන්වනවා
ඔහු මට වේලාව පෙන්වනවා,ඔහු මට වේලාව පෙන්වනවා
මාමා ලස්සන නිවසට යනවා,මාමා ලස්සන නිවස යනවා
බිරිඳ කැත රෝස සායක් මිලදී ගන්නවා,බිරිඳ කැත රෝස සාය මිලදීගන්නවා
දුව පොත පාඩම් කරනවා,දුව පොත පාඩම්කරනවා
මාර්ගයේ කිසිවක් නැත,මාර්ගය නෑ
මම හෙට කණ්ඩායම මෙහෙයවනවා,මම හෙට කණ්ඩායම මෙහෙයවනවා
ඇය හෙට රෝස සාරිය අදිනවා,ඇය හෙට රෝස සාරිය
දරුවන් පාසලට යනවා,දරුවන් පාසල යනවා
මල්ලී පොතේ ලියනවා,මල්ලී පොත ලියනවා
මල්ලී පොතේ ගැටලුව ලියනවා,මල්ලී පොත ගැටලුව ලියනවා
දුම්රිය වේගවත්ව යනවා,දුම්රිය වේගවත් යනවා
අම්මා හෙට හවස පාසලට යනවා,අම්මා හෙට හවස පාසල යනවා
මම හෙට හවස පාසලට යනවා,මම හෙට හවස පාසල යනවා
මම හෙට හවස ගෙදර යනවා,මම හෙට හවස ගෙදර යනවා
තාත්තා මාර්ගයේ ඇවිදිනවා,තාත්තා මාර්ගය ඇවිදිනවා
බල්ලා මාර්ගයේ ඇවිදිනවා,බල්ලා මාර්ගය ඇවිදිනවා
බළලා මාර්ගයේ ඇවිදිනවා,බළලා මාර්ගය ඇවිදිනවා
අද කණ්ඩායම ගුවන්තොටුපළට පැමිණෙනවා,අද කණ්ඩායම ගුවන්තොටුපළ එනවා
ඔබට ස්තූතියි,ඔබට ස්තූතියි
ලේනා කිරි බොනවා,ලේනා කිරි බොනවා
අලියා මාර්ගයේ ඇවිදිනවා,අලියා මාර්ගය ඇවිදිනවා
මම පරිගණකය භාවිතාකරනවා,මම පරිගණකය භාවිතාකරනවා
තාත්තා පරිගණකය භාවිතාකරනවා,තාත්තා පරිගණකය භාවිතාකරනවා
අම්මා දරුවා ගැන හිතනවා,අම්මා දරුවා හිතනවා
වෛද්‍යවරයා අන්තර්ජාලය භාවිතාකරනවා,වෛද්‍යවරයා අන්තර්ජාලය භාවිතාකරනවා
වෛද්‍යවරයා පරිගණකය භාවිතාකරනවා,වෛද්‍යවරයා පරිගණකය භාවිතාකරනවා
වෛද්‍යවරයා ජංගමදුරකථනය භාවිතාකරනවා,වෛද්‍යවරයා ජංගමදුරකථනය භාවිතාකරනවා
දරුවන් කැමරාව භාවිතාකරනවා,දරුවන් කැමරාව භාවිතාකරනවා
දරුවන් පරිගණකය භාවිතාකරනවා,දරුවන් පරිගණකය භාවිතාකරනවා
දරුවන් අන්තර්ජාලය භාවිතාකරනවා,දරුවන් අන්තර්ජාලය භාවිතාකරනවා
අම්මා කාඩ්පත මිලදීගන්නවා,අම්මා කාඩ්පත මිලදීගන්නවා
ඔහු දැන් එනවා,ඔහු දැන් එනවා
ක්‍රීඩකයා කණ්ඩායමේ සෙල්ලම්කරනවා,ක්‍රීඩකයා කණ්ඩායම සෙල්ලම්කරනවා
මම රෝහලට යනවා,මම රෝහලට යනවා
ඔබට සුබ සන්ධ්‍යාවක්,ඔයා සුබසන්ධ්‍යාව
ඔබට සුබ උදෑසනක්,ඔබට සුබඋදෑසන
ඔබට සුබ රාත්‍රියක්,ඔබට සුබරාත්‍රිය
නංගි අඬනවා,නංගි අඬනවා
කන්ද පහල නිවස මගේ,කන්ද පහල නිවස මගේ
ඔහුගේ ඇස් ලස්සනයි,ඔහු ඇස් ලස්සන
ඇයගේ ඇස් ලස්සනයි,ඇය ඇස් ලස්සන
ඇයගේ බබා ලස්සනයි,ඇය බබා ලස්සන
සීයයි ආච්චීයි සිනාසෙනවා,සීයා ආච්චි සිනාසෙනවා
මල්ලී අම්මාට දුරකථනය දෙනවා,මල්ලී අම්මා දුරකථනය දෙනවා
අම්මා මට උදව් කරනවා,අම්මා මට උදව්කරනවා
පුතා පැන්සල සොයනවා,පුතා පැන්සල සොයනවා
"මම පරක්කු වෙලා නැගිට්ටොත් , බස් එක මගැරෙනවා",මම පරක්කු නැගිටිනවා බස් එක යනවා
"ඇය හොදින් ඉගෙන ගත්තොත්, ඇය විභාගය සමත් වෙයි",ඇය හොද ඉගෙනගන්නවා ඇය විභාග සමත්වෙනවා
"ඔහු වේගයෙන් දිව්වොත්, තරගය දිනන්න පුලුවන් වෙයි","ඔහු වේගවත් දුවනවා, ජයග්‍රහණයකරනවා පුලුවන්"
"ඔවුන් හොදට සෙල්ලම් කලොත්, තරගය දිනන්න පුලුවන් වෙයි",ඔවුන් හොද සෙල්ලම් ජයග්‍රහණයකරනවා පුලුවන්
වැස්සෙ නැත්නම් අපිට සෙල්ලම් කරන්න පුලුවන්,වහිනවා නෑ අපිට සෙල්ලම් පුලුවන්
මට දුරකථනය අමතක වුනා,මට දුරකථනය අමතක වෙනවා
"ඇය පොත් කියෙව්වොත්, ඇය දක්ශ ළමයෙක් වේවි",ඇය පොතබලනවා ඇය දක්ශ ළමයා
මම හැමදාම මාලු කන්නේ නෑ,මම හැමදාම මාලුවා කනවා නෑ
එයා තනියම පාඩම් කරන්න කැමති නෑ,එයා තනියම පාඩම්කරනවා කැමති නෑ
ඔහු දැන් මද්‍යසාර බොන්නේ නෑ,ඔහු දැන් මද්‍යසාර බොනවා නෑ
අපි අද රෑට චිත්‍රපටියක් බලන්නේ නෑ,අපි අද රෑ චිත්‍රපටිය බලනවා නෑ
එයාලා අද සෙල්ලම් කරන්නේ නෑ,ඔවුන් අද සෙල්ලම් නෑ
අපි හැමදාම ගෙදර පිරිසිදු කරන් නෑ,අපි හැමදාම ගෙදර පිරිසිදුකරනවා නෑ
එයාලා අද යාලුවන්ව හම්බවෙන්න යන්නේ නෑ,ඔවුන් අද යාලුවා හම්බවෙනවා යනවා නෑ
අක්කා රතු පාට සාය අදින්නේ නෑ,අක්කා රතු පාට සාය සායඅදිනවා නෑ
අද නැන්දා පාන් මිලදී ගන්නේ නෑ,අද නැන්දා පාන් මිලදීගන්නවා නෑ
ඔහු බයිසිකලයක් පදිනවා,ඔහු බයිසිකලය යනවා
අපි අද දවල් කෑම උයන් නෑ,අපි අද දවල් කෑම උයනවා නෑ
අද ඇය මල් පැල සිටවන්නේ නෑ,අද ඇය මල පැලසිටවනවා නෑ
ඔහු කාරය සෝදන්නේ නෑ,ඔහු මෝටර්රථය මෝටර්රථයහෝදනවා නෑ
මම හැමදාම උදේට තේ බොන්නේ නෑ,මම හැමදාම උදේ තේ බොනවා නෑ
ඇය බිත්තියට සුදු පාට තීන්ත ගාන්නේ නෑ,ඇය බිත්ති සුදු පාට තීන්තගානවා නෑ
ඔහු ගිටාරය වාදනය කරන්නේ නෑ,ඔහු ගිටාරය නෑ
අපි අද ඇදුම් මිලදී ගන්නේ නෑ,අපි අද ඇදුම මිලදීගන්නවා නෑ
ඔයා හැමදාම උදේට කිරි බොනවාද?,ඔයා හැමදාම උදේ කිරි බොනවා ද
ඔයා දැන් වතුර බොනවාද?,ඔයා දැන් වතුර බොනවා ද
බල්ලා පුටුව උඩ නිදාගෙන ඉන්නවාද?,බල්ලා පුටුව මත නිදියනවා ඉන්නවා ද
අපි අද රෑට චිත්‍රපටියක් බලනවාද?,අපි අද රෑ චිත්‍රපටිය බලනවා ද
වැස්ස ඉවර වුනහම එයාල සෙල්ලම් කරනවාද?,වැස්ස ඉවරයි ඔවුන් සෙල්ලම් ද
ඇය දැන් පොතක් කියවන ගමන්ද ඉන්නේ?,ඇය දැන් පොත පොත්බලනවා ඉන්නවා ද
පූසා මේසය උඩ නිදාගෙන ඉන්නවාද?,පූසා මේසය මත නිදියනවා ඉන්නවා ද
ඔයා හෙට නිල් පාට සාය අදිනවාද?,ඔයා හෙට නිල් පාට සාය සායඅදිනවා ද
මම හැමදාම උදේ කෑම කනවා.,මම හැමදාම උදේ කෑම කනවා
එයා හැමදාම පාසලට යනවා.,එයා හැමදාම පාසල යනවා
එයා දවල් කෑමෙන් පස්සේ වතුර බොනවා.,එයා දවල් කෑම පස්සේ වතුර බොනවා
බල්ලා පැදුරේ නිදාගන්නවා.,බල්ලා පැදුර නිදියනවා
අපි සති අන්තයේ චිත්‍රපට බලනවා.,අපි සතිඅන්තය චිත්‍රපටය බලනවා
එයාලා උද්‍යානයේ පාපන්දු සෙල්ලම් කරනවා.,ඔවුන් උද්‍යානය පාපන්දු
අද හිරු එළිය හොඳට බබළනවා.,අද හිරුඑළිය හොද බබළනවා
මම දවසට දෙපාරක් දත් මදිනවා,මම දවස දෙපාරක් දත්මදිනවා
එයා රෑට පොතක් කියවනවා.,එයා රෑ පොත පොත්බලනවා
එයා එයාගේ යාළුවාට ලිපියක් ලියනවා.,එයා එයා යාළුවා ලිපියක් ලියනවා.
පූසා පුටුවේ ඉඳගන්නවා.,පූසා පුටුව ඉන්නවා
අපි හැම ඉරිදාවකම ගෙදර පිරිසිදු කරනවා.,අපි හැම ඉරිදා ගෙදර පිරිසිදුකරනවා
එයාලා සතිපතා එයාලගේ ආච්චිලා සීයලා බලන්න යනවා.,ඔවුන් සතිපතා ඔවුන් ආච්චි සීයා බලනවා යනවා
මම අද නිල් කමිසයක් අඳිනවා.,මම අද නිල් කමිසය
එයා කඩෙන් පාන් ගන්නවා.,එයා කඩය පාන් ගන්නවා
එයා වැඩට බයිසිකලයක් පදිනවා.,එයා වැඩ බයිසිකලය යනවා
බබා තොටිල්ලේ අඬනවා,බබා තොටිල්ල අඬනවා
අපි කුස්සියේ රෑ කෑම උයනවා.,අපි කුස්සිය රෑ කෑම උයනවා
එයා බිත්තියේ චිත්‍ර අඳිනවා.,එයා බිත්තිය චිත්‍රය චිත්‍රඅදිනවා
මම සෑම සවසකම සංගීතයට සවන් දෙමි.,මම හැම හවස සින්දුව අහනවා
ඇය උයනේ මල් සිටුවයි.,ඇය උද්‍යානය මල පැලසිටවනවා
ඔහු සෙනසුරාදා කාර් එක හෝදනවා.,ඔහු සෙනසුරාදා මෝටර්රථය මෝටර්රථයහෝදනවා
කුරුල්ලා ගසේ ගායනා කරනවා.,කුරුල්ලා ගස සින්දුකියනවා
අපි තටාකයේ පීනනවා.,අපි තටාකය පීනනවා
ඔවුන් සෑම දහවල්ම ගණිතය ඉගෙන ගන්නවා.,ඔවුන් හැම දවල් ගණන ඉගෙනගන්නවා
මම උදේ කෝපි බොනවා.,මම උදේ කෝපි බොනවා
ඇය බිත්ති නිල් පාට කරනවා.,ඇය බිත්ති නිල් පාට තීන්තගානවා
ඔහු ගෙදර ගිටාරය වාදනය කරනවා.,ඔහු ගෙදර ගිටාරය
බල්ලා මිදුලේ දුවනවා.,බල්ලා මිදුල දුවනවා
අපි සිකුරාදා සිල්ලර බඩු කඩේ යනවා.,අපි සිකුරාදා කඩය යනවා
ඔවුන් වෙරළේ හිරු බැස යන ආකාරය නරඹනවා.,ඔවුන් වෙරළ හිරු බැසයනවා බලනවා
මම සෑම රාත්‍රියකම ස්නානය කරනවා.,මම හැම රෑ නානවා
ඇය ටැංකියේ මාළුන්ට කවනවා.,ඇය ටැංකිය මාලුවා කෑමදෙනවා
ඔහු ගරාජයේ බයිසිකලය අලුත්වැඩියා කරනවා.,ඔහු ගරාජය බයිසිකලය අලුත්වැඩියා
දරුවා පැන්සල් වලින් චිත්‍ර අඳිනවා.,දරුවා පැන්සල චිත්‍රය චිත්‍රඅදිනවා
අපි මාසිකව කෞතුකාගාරයට යනවා.,අපි මාසික කෞතුකාගාරය යනවා
ඔවුන් සති අන්තයේ වනාන්තරයේ ඇවිදිනවා.,ඔවුන් සතිඅන්තය වනාන්තරය ඇවිදිනවා
මම දිනපතා මගේ දිනපොතේ ලියනවා.,මම හැමදාම මගේ දිනය පොත ලියනවා
ඇය වෙළඳපොළෙන් එළවලු මිලදී ගනී.,ඇය කඩය එළවලු මිලදීගන්නවා
ඔහු සෑම සතියකම ඔහුගේ කාමරය පිරිසිදු කරයි.,ඔහු හැම සතිය ඔහු කාමරය පිරිසිදුකරනවා
බළලා මීයා පසුපස හඹා යයි.,පූසා මීයා පසුපස දුවනවා
අපි දවල්ට දිවා ආහාරය ගන්නවා.,අපි දවල්ට දිවා ආහාරය ගන්නවා.
ඔවුන් රාත්‍රියේ කාඩ් සෙල්ලම් කරනවා.,ඔවුන් රෑ කාඩ්සෙල්ලම
මම කියවීමට කණ්නාඩි දාගෙන යනවා.,මම පොත්බලනවා ඇස්කණ්ණාඩිය
ඇය දිනපතා පැළවලට වතුර දමනවා.,ඇය හැමදාම පැළය වතුරදානවා
ඔහු සෑම දිනකම රැකියාවට රිය පදවනවා.,ඔහු හැම දවස රැකියාව මෝටර්රථය යනවා
බබා දහවල් කාලයේදී නිදා ගනී.,බබා දවල් නිදියනවා
අපි සවස් වරුවේ රූපවාහිනිය නරඹමු.,අපි හවස රූපවාහිනිය බලනවා
මම සෑම උදෑසනකම මගේ කොණ්ඩය පීරනවා.,මම හැම උදේ මගේ කොණ්ඩය පීරනවා
ඇය රාත්‍රී ආහාරය සඳහා සුප් උයනවා.,ඇය රෑ කෑම සුප් උයනවා
ඔහු ඉරිදා තණකොළ කපයි.,ඔහු ඉරිදා තණකොළ තණකොළකපනවා
බල්ලා ආගන්තුකයන්ට බුරයි.,බල්ලා ආගන්තුකයා බුරනවා
අපි පාසලෙන් පසු උද්‍යානයට යමු.,අපි පාසල පස්සේ උද්‍යානය යනවා
ඔවුන් උදේ පුවත්පත් කියවනවා.,ඔවුන් උදේ පුවත්පත පොත්බලනවා
මම පාසලට බස් එකෙන් යනවා.,මම පාසල බස් යනවා
ඇය ඇගේ මිතුරන්ට ලියුම් ලියයි.,ඇය යාලුවා ලියුම් ලියන්වා
ඔහු ගෙදර පරිගණකය අලුත්වැඩියා කරයි.,ඔහු ගෙදර පරිගණකය අලුත්වැඩියා
දරුවා සෙල්ලම් බඩු සමග සෙල්ලම් කරයි.,දරුවා සෙල්ලම්බඩු සමග සෙල්ලම්කරනවා
ඔවුන් සතිපතා පුස්තකාලයට ඇවිදිනවා.,ඔවුන් සතිපතා පුස්තකාලය ඇවිදිනවා
ඇය කඩෙන් කිරි ගන්නවා.,ඇය කඩය කිරි ගන්නවා
ඔහු වැට සුදු පැහැයෙන් පින්තාරු කරයි.,ඔහු වැට සුදු පාට තීන්තාගානවා
බළලා සෝෆා මත නිදා ගනී.,පූසා සෝෆා මත නිදියනවා
අපි මාසිකව ජනෙල් පිරිසිදු කරනවා.,අපි මාසිකව ජනේලය පිරිසිදුකරනවා
ඔවුන් උයනේ කුරුල්ලන් නරඹති.,ඔවුන් උද්‍යානය කුරුල්ලා බලනවා
මම දහවල් තේ බොනවා.,මම දවල් තේ බොනවා
ඇය දිනපතා බිම අතුගානවා.,ඇය හැමදාම බිම අතුගානවා
ඔහු පාසලට මෝටර්රථයකින් යයි.,ඔහු පාසල මෝටර්රථය යනවා
බබා සෙල්ලම් බඩුවට හිනා වෙනවා.,බබා සෙල්ලම්බඩු සිනාසෙනවා
අපි සත්වෝද්‍යානයට යනවා.,අපි සත්වෝද්‍යානය යනවා
ඔවුන් පාසලෙන් පසු පැසිපන්දු ක්‍රීඩා කරති.,ඔවුන් පාසල පස්සේ පැසිපන්දු
ඇය මිදුලේ කුරුල්ලන්ට පෝෂණය කරයි.,ඇය මිදුල කුරුල්ලා කෑමදෙනවා
ඔහු රාත්‍රී ආහාරයෙන් පසු පිඟන් සෝදනවා.,ඔහු රෑ කෑම පස්සේ පිඟන්හෝදනවා
බල්ලා පැදුර මත නිදියනවා,බල්ලා පැදුර මත නිදියනවා
අපි ජූලි මාසයේදී මුහුදු වෙරළට යනවා.,අපි ජූලි මාසය මුහුදුවෙරළ යනවා
ඔවුන් පාසලේදී විද්‍යාව හදාරනවා.,ඔවුන් පාසල විද්‍යාව ඉගෙනගන්නවා
මම එළියේ ඇවිදින්න සපත්තු දාගෙන ඉන්නවා.,මම පිටත ඇවිදිනවා සපත්තු ඉන්නවා
ඇය වෙළඳපොළෙන් බිත්තර මිලදී ගනී.,ඇය කඩය බිත්තර මිලදීගන්නවා
ඔහු නිවසේ පුටුව අලුත්වැඩියා කරයි.,ඔහු ගෙදර පුටුව අලුත්වැඩියා.
අපි රෑ කෑම කන්නේ හයට.,අපි රෑ කෑම කනවා හය
ඔවුන් පුස්තකාලයේ පොත් කියෙව්වා.,ඔවුන් පුස්තකාලය පොත පොත්බලනවා
මම දහවල් නින්දක් ගන්නවා.,මම දවල් නිදියනවා
ඇය මිදුලේ ගස් සිටුවයි.,ඇය මිදුල ගස පැලසිටවනවා
ඔහු වැඩට ට්‍රක් රථයක් පදවනවා.,ඔහු වැඩ මෝටර්රථය යනවා
බළලා බඳුනකින් කිරි බොනවා.,පූසා බඳුන කිරි බොනවා
අපි රාත්‍රියේදී තරු නරඹනවා.,අපි රෑ තරු බලනවා
ඔවුන් සති අන්තයේ චෙස් ක්‍රීඩා කරනවා.,ඔවුන් සතිඅන්තය චෙස්
මම හිරු එළියේ තොප්පියක් පළඳිනවා.,මම හිරුඑළිය තොප්පිය
ඇය දිවා ආහාරය සඳහා බත් උයනවා.,ඇය දවල් කෑම බත් උයනවා
ඔහු ආහාර ගැනීමෙන් පසු මේසය පිරිසිදු කරයි.,ඔහු කෑම පස්සේ මේසය පිරිසිදුකරනවා
බබා බිම බඩගානවා.,බබා බිම බඩගානවා
අපි සෙනසුරාදා මිතුරන් බලන්න යනවා.,අපි සෙනසුරාදා යාලුවා බලනවා යනවා
ඔවුන් දිනපතා ගබඩාවට ඇවිදිනවා.,ඔවුන් හැමදාම ගබඩාව ඇවිදිනවා
මම උදේ ආහාරය සමඟ යුෂ බොනවා.,මම උදේ කෑම සමග බීම බොනවා
